municipio;parroquia;nombre;tipo_centro;situacion;latitud;longitud
MP. BOLIVAR;PQ. EL CARMEN;COMPLEJO EDUCATIVO ESTADAL PROFESOR PEDRO ARNAL;EDUCACION BASICA Y SECUNDARIA;Cerrado;10.13438097;-64.66182903
MP. BOLIVAR;PQ. EL CARMEN;ESCUELA BASICA NACIONAL NUMERO 77 ANGOSTURA;EDUCACION BASICA;Cerrado;10.13729202;-64.63917099
MP. SOTILLO;PQ. POZUELOS;ESCUELA BASICA VALLE DE LAS CARMELITAS;EDUCACION BASICA;Cerrado;10.14065397;-64.61443899
MP. L/DIEGO BAUTISTA;PQ. LECHERIAS;CENTRO DE EDUCACION INICIAL VIRGEN DEL VALLE;EDUCACION INICIAL;Cerrado;10.17710298;-64.69004304
MP. BOLIVAR;PQ. SAN CRISTOBAL;UNIDAD EDUCATIVA LOS ALEROS;UNIDAD EDUCATIVA;Cerrado;10.08880902;-64.67335803
MP. BOLIVAR;PQ. EL CARMEN;ESCUELA CONCENTRADA LA PRADERA;EDUCACION BASICA;Cerrado;10.14066801;-64.61656803
MP. SOTILLO;PQ. POZUELOS;ESCUELA BOLIVARIANA PUTUCUAL;EDUCACION BASICA;Cerrado;10.14271002;-64.61647299
MP. BOLIVAR;PQ. EL CARMEN;ESCUELA ANTONIO JOSE DE SUCRE;EDUCACION BASICA;Cerrado;10.14363603;-64.67234499
MP. BOLIVAR;PQ. SAN CRISTOBAL;UNIDAD EDUCATIVA NUESTRA SE?ORA DE COROMOTO;UNIDAD EDUCATIVA;Cerrado;10.09118502;-64.67420898
MP. BOLIVAR;PQ. EL CARMEN;CENTRO DE EDUCACION INICIAL GIORGINA DE MATA;EDUCACION INICIAL;Cerrado;10.14528798;-64.67266701
MP. L/DIEGO BAUTISTA;PQ. LECHERIAS;UNIDAD EDUCATIVA MENCA DE LEONI;UNIDAD EDUCATIVA;Cerrado;10.19121903;-64.69435404
MP. BOLIVAR;PQ. SAN CRISTOBAL;ESCUELA  PUENTE AYALA;EDUCACION BASICA;Cerrado;10.09513701;-64.65903102
MP. L/DIEGO BAUTISTA;PQ. LECHERIAS;COLEGIO JUAN XXIII;EDUCACION BASICA Y SECUNDARIA;Cerrado;10.19178396;-64.69304202
MP. BOLIVAR;PQ. EL CARMEN;UNIDAD EDUCATIVA PROFESOR HECTOR JOSE REYES BARRERO;UNIDAD EDUCATIVA;Cerrado;10.14715998;-64.66863897
